Year,URBANISATION,AREA,Series,Value
2017,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2008,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.9
2011,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.0
2015,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2008,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",94.6
2011,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2015,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2008,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",96.6
2011,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2015,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2019,,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
